code,id_g2a,name,name_g2a,locality,station
,,"Hôtel Inn Chambéry","HOTEL INN CHAMBERY","La Ravoire",
,,"Hotel Blanc","HOTEL BLANC",Marigny-Saint-Marcel,
,,"ibis budget Chambéry Sud Challes Les Eaux","IBIS BUDGET CHAMBERY SUD CHALLES LES EAUX",Challes-les-Eaux,
,,Miura,MIURA,Voglans,
,,"LES CABANES De La Maison Rouge","LES CABANES DE LA MAISON ROUGE",Barberaz,
,,"La maison rouge 3*","LA MAISON ROUGE 3*",Barberaz,
,,"Château de Candie","CHATEAU DE CANDIE",Chambéry,
,,"Couett' Hotel Rumilly","COUETT' HOTEL RUMILLY",Rumilly,
,,"Best Western Alexander Park Chambéry","BEST WESTERN ALEXANDER PARK CHAMBERY",Chambéry,
,,"Campanile Chambéry","CAMPANILE CHAMBERY",Chambéry,
,,"ibis Chambery","IBIS CHAMBERY",Chambéry,
,,"Hotel Actuel Chambéry Centre Gare","HOTEL ACTUEL CHAMBERY CENTRE GARE",Chambéry,
,,"Brit Hotel Chambery","BRIT HOTEL CHAMBERY",Chambéry,
,,"Ibis budget Chambéry Centre Ville","IBIS BUDGET CHAMBERY CENTRE VILLE",Chambéry,
,,"Hotel George","HOTEL GEORGE",Montmélian,
,,"Ô Pervenches","O PERVENCHES",Chambéry,
,,"Théâtre Hôtel Chambéry","THEATRE HOTEL CHAMBERY",Chambéry,
,,"hotelF1 Chambéry Nord Rénové","HOTELF1 CHAMBERY NORD RENOVE",Chambéry,
,,"Premiere Classe Chambery","PREMIERE CLASSE CHAMBERY",Chambéry,
,,"Petit Hôtel Confidentiel","PETIT HOTEL CONFIDENTIEL",Chambéry,
,,"Fasthotel Chambéry","FASTHOTEL CHAMBERY",Chambéry,
,,"Mercure Chambéry Centre","MERCURE CHAMBERY CENTRE",Chambéry,
,,"Langley Hôtel Tignes 2100","LANGLEY HOTEL TIGNES 2100","Tignes Le Lac -  Tignes",
,,"Lodge Les Merisiers","LODGE LES MERISIERS","Courchevel 1300 -  Courchevel",
,,"Hôtel le Welcome","HOTEL LE WELCOME",Moutiers,
567964,182,"Résidence Le Petit Mont Cenis","RESIDENCE LE PETIT MONT CENIS",Termignon-la-Vanoise,"HAUTE MAURIENNE VANOISE"
,,"La Cachette- Friendly Hotel  and  Spa","LA CACHETTE- FRIENDLY HOTEL  AND  SPA","Arc 1600",
,,"Le Paquis","LE PAQUIS","Tignes Le Lac -  Tignes",
,,"Le Télémark","LE TELEMARK",Pralognan-la-Vanoise,
,,"Hôtel Arcadien","HOTEL ARCADIEN","Arc 1600",
,,"Savoy Hôtel","SAVOY HOTEL",Brides-les-Bains,
,,"Golf Hôtel","GOLF HOTEL",Brides-les-Bains,
,,"Hôtel Alpen Lodge","HOTEL ALPEN LODGE","La Rosière",
,,"ILY Hotels La Rosiere","ILY HOTELS LA ROSIERE","La Rosière",
,,"Hotel Inn Design Moutiers","HOTEL INN DESIGN MOUTIERS",Moutiers,
,,"Hôtel de La Vanoise","HOTEL DE LA VANOISE",Pralognan-la-Vanoise,
,,"Terminus Hôtel des 3 Vallées","TERMINUS HOTEL DES 3 VALLEES",Moutiers,
,,"Auberge de Savoie","AUBERGE DE SAVOIE",Moutiers,
,,"Hotel Le Monal","HOTEL LE MONAL",Sainte-Foy-Tarentaise,
,,"Hotel Eterlou","HOTEL ETERLOU",Méribel,
,,"Les Monts Charvin","LES MONTS CHARVIN","Courchevel 1850 -  Courchevel",
,,"Chalet Hotel La Tarine","CHALET HOTEL LA TARINE",Peisey-Nancroix,
,82,"Hotel Altitude","HOTEL ALTITUDE","Val dʼIsère","VAL D'ISERE"
,,"ho36 Les Menuires","HO36 LES MENUIRES","Les Menuires",
,,"Hillary Hotel","HILLARY HOTEL","Les Menuires",
,,"Chalet Hotel Du Fornet","CHALET HOTEL DU FORNET","Val dʼIsère",
,,"Hôtel Le Refuge","HOTEL LE REFUGE","Tignes Le Lac -  Tignes",
,,"La Vanoise 1825","LA VANOISE 1825",Brides-les-Bains,
,73,"Hotel La Toviere","HOTEL LA TOVIERE","Val dʼIsère","VAL D'ISERE"
,,L'Annexe,L'ANNEXE,"Val dʼIsère",
,,"Tetras Lodge by Les Etincelles","TETRAS LODGE BY LES ETINCELLES","Les Brévières -  Tignes",
,5116,"Black Bass Hotel","BLACK BASS HOTEL",Sévrier,"GRAND ANNECY AGGLOMERATION"
,,"HIGALIK HOTEL","HIGALIK HOTEL","Les Menuires",
,,"Altis Val Vert","ALTIS VAL VERT",Brides-les-Bains,
,,"Le Chalet Des Peupliers","LE CHALET DES PEUPLIERS","Courchevel 1300 -  Courchevel",
,,"Hotel La Chaudanne","HOTEL LA CHAUDANNE",Méribel,
,,"Les Peupliers","LES PEUPLIERS","Courchevel 1300 -  Courchevel",
,,"Hotel Athena","HOTEL ATHENA",Brides-les-Bains,
,47,"Hotel Amélie","HOTEL AMELIE",Brides-les-Bains,"BRIDES LES BAINS"
,,"l'Ecrin des Neiges","L'ECRIN DES NEIGES","La Joue du Loup",
,,"Suite Home Briancon Serre Chevalier","SUITE HOME BRIANCON SERRE CHEVALIER",Briançon,
,,"Hôtel Vauban Briançon Serre Chevalier","HOTEL VAUBAN BRIANCON SERRE CHEVALIER",Briançon,
,,"Adonis Gapotel","ADONIS GAPOTEL",Gap,
,,"Le Grand Tetras","LE GRAND TETRAS",Saint-Véran,
,,"Cit'Hotel Avantici Gap","CIT'HOTEL AVANTICI GAP",Gap,
,,"Le Grand Aigle Hotel  and  Spa****","LE GRAND AIGLE HOTEL  AND  SPA****","La Salle-Les-Alpes",
,,"Rock Noir  and  Spa","ROCK NOIR  AND  SPA","La Salle-Les-Alpes",
,,"Hôtel  and  Restaurant Azur","HOTEL  AND  RESTAURANT AZUR","La Freissinouse",
,,"Le Christiania Hotel  and  Spa","LE CHRISTIANIA HOTEL  AND  SPA","La Salle-Les-Alpes",
,,"Lautaret Lodge  and  Spa","LAUTARET LODGE  AND  SPA","Le Monêtier-les-Bains",
,,"B and B HOTEL Gap","B AND B HOTEL GAP",Gap,
,41,"Hotel Les Chalets","HOTEL LES CHALETS",Brides-les-Bains,"BRIDES LES BAINS"
,2997,"Hotel Le Connetable","HOTEL LE CONNETABLE",Saint-Bonnet-en-Champsaur,
,,"Hôtel- Le Refuge Napoléon","HOTEL- LE REFUGE NAPOLEON",Vars,
,3543,"Le Solayan","LE SOLAYAN",Couledoux,"VALLEES DE SAINT-BEAT"
,,"Fifi Moulin","FIFI MOULIN",Serres,
,,"Logis - Hotel De La Mairie","LOGIS - HOTEL DE LA MAIRIE",Embrun,
,,"Logis Hotel-Restaurant Spa Le Lac","LOGIS HOTEL-RESTAURANT SPA LE LAC",Embrun,
,,"NESTOR HOTEL GAP et Restaurant","NESTOR HOTEL GAP ET RESTAURANT",Gap,
,,"Hotel Restaurant Le Carina","HOTEL RESTAURANT LE CARINA",Gap,
,,"Le Mas d'Estello","LE MAS D'ESTELLO",Tallard,
,,"Hôtel Restaurant  and  Spa Les Autanes","HOTEL RESTAURANT  AND  SPA LES AUTANES",Ancelle,
,,"hotelF1 Gap","HOTELF1 GAP",Gap,
,,"ibis Gap Centre","IBIS GAP CENTRE",Gap,
